Name, RA|Galactic Long (Degs), Dec|Galactic Lat (Degs), PMRA(mas/yr), PMDec(mas/yr), vel(km/s), Ref frame, Doppler type, peak cont flux(mJy), peak line flux(mJy), cont pol(%), line pol(%), line width(km/s), cont circular pol (%), line circular pol (%)
--  This signals end of the header 
G005.885-00.393, 5.885, -0.391, 0.0, 0.0, -2.60, lsrk, RADIO, 0.0, 250.0, 0.0, 0.0, 1.5, 0, 0 
G010.623-00.385, 10.622, -0.382, 0.0, 0.0, 0.60, lsrk, RADIO, 0.0, 250.0, 0.0, 0.0, 1.5, 0, 0 
G301.138-00.227, 301.135, -0.224, 0.0, 0.0, -39.40, lsrk, RADIO, 0.0, 250.0, 0.0, 0.0, 1.5, 0, 0 
G305.384-00.248, 305.379, -0.232, 0.0, 0.0, -45.30, lsrk, RADIO, 0.0, 250.0, 0.0, 0.0, 1.5, 0, 0 
G309.176-00.028, 309.175, -0.028, 0.0, 0.0, -17.20, lsrk, RADIO, 0.0, 250.0, 0.0, 0.0, 1.5, 0, 0 
G310.901-00.373, 310.905, -0.381, 0.0, 0.0, 28.40, lsrk, RADIO, 0.0, 250.0, 0.0, 0.0, 1.5, 0, 0 
G311.563+00.239, 311.569, 0.231, 0.0, 0.0, 1.20, lsrk, RADIO, 0.0, 250.0, 0.0, 0.0, 1.5, 0, 0 
G312.598+00.048, 312.599, 0.046, 0.0, 0.0, -66.80, lsrk, RADIO, 0.0, 250.0, 0.0, 0.0, 1.5, 0, 0 
G312.764+00.067, 312.779, 0.062, 0.0, 0.0, -63.30, lsrk, RADIO, 0.0, 250.0, 0.0, 0.0, 1.5, 0, 0 
G317.891-00.059, 317.888, -0.060, 0.0, 0.0, 16.00, lsrk, RADIO, 0.0, 250.0, 0.0, 0.0, 1.5, 0, 0 
G318.774-00.150, 318.777, -0.151, 0.0, 0.0, -39.30, lsrk, RADIO, 0.0, 250.0, 0.0, 0.0, 1.5, 0, 0 
G318.915-00.165, 318.915, -0.162, 0.0, 0.0, -29.40, lsrk, RADIO, 0.0, 250.0, 0.0, 0.0, 1.5, 0, 0 
